user_id,username,password,role,email
3a6d0d76-e3ff-11ed-9c31-90784103be24,admin3a6d0d76-e3ff-11ed-9c31-90784103be24,admin3a6d0d76-e3ff-11ed-9c31-90784103be24@123,admin,admin3a6d0d76-e3ff-11ed-9c31-90784103be24@gmail.com
3a6e0406-e3ff-11ed-bc81-90784103be24,admin3a6e0406-e3ff-11ed-bc81-90784103be24,admin3a6e0406-e3ff-11ed-bc81-90784103be24@123,admin,admin3a6e0406-e3ff-11ed-bc81-90784103be24@gmail.com
3a6e0407-e3ff-11ed-b662-90784103be24,admin3a6e0407-e3ff-11ed-b662-90784103be24,admin3a6e0407-e3ff-11ed-b662-90784103be24@123,admin,admin3a6e0407-e3ff-11ed-b662-90784103be24@gmail.com
3a6e0408-e3ff-11ed-ae18-90784103be24,admin3a6e0408-e3ff-11ed-ae18-90784103be24,admin3a6e0408-e3ff-11ed-ae18-90784103be24@123,admin,admin3a6e0408-e3ff-11ed-ae18-90784103be24@gmail.com
3a6e0409-e3ff-11ed-872b-90784103be24,admin3a6e0409-e3ff-11ed-872b-90784103be24,admin3a6e0409-e3ff-11ed-872b-90784103be24@123,admin,admin3a6e0409-e3ff-11ed-872b-90784103be24@gmail.com
023142ae-e40c-11ed-864c-90784103be24,abc,abc@1234,student,abc@gmail.com
02320e92-e4d6-11ed-bc1b-90784103be24,admin02320e92-e4d6-11ed-bc1b-90784103be24,admin02320e92-e4d6-11ed-bc1b-90784103be24@123,admin,admin02320e92-e4d6-11ed-bc1b-90784103be24@gmail.com
02320e93-e4d6-11ed-9161-90784103be24,admin02320e93-e4d6-11ed-9161-90784103be24,admin02320e93-e4d6-11ed-9161-90784103be24@123,admin,admin02320e93-e4d6-11ed-9161-90784103be24@gmail.com
02320e94-e4d6-11ed-b943-90784103be24,admin02320e94-e4d6-11ed-b943-90784103be24,admin02320e94-e4d6-11ed-b943-90784103be24@123,admin,admin02320e94-e4d6-11ed-b943-90784103be24@gmail.com
02320e95-e4d6-11ed-a1ed-90784103be24,admin02320e95-e4d6-11ed-a1ed-90784103be24,admin02320e95-e4d6-11ed-a1ed-90784103be24@123,admin,admin02320e95-e4d6-11ed-a1ed-90784103be24@gmail.com
02320e96-e4d6-11ed-beb1-90784103be24,admin02320e96-e4d6-11ed-beb1-90784103be24,admin02320e96-e4d6-11ed-beb1-90784103be24@123,admin,admin02320e96-e4d6-11ed-beb1-90784103be24@gmail.com
16f728c2-e4d6-11ed-b47d-90784103be24,admin16f728c2-e4d6-11ed-b47d-90784103be24,admin16f728c2-e4d6-11ed-b47d-90784103be24@123,admin,admin16f728c2-e4d6-11ed-b47d-90784103be24@gmail.com
16f74fd4-e4d6-11ed-84ff-90784103be24,admin16f74fd4-e4d6-11ed-84ff-90784103be24,admin16f74fd4-e4d6-11ed-84ff-90784103be24@123,admin,admin16f74fd4-e4d6-11ed-84ff-90784103be24@gmail.com
16f74fd5-e4d6-11ed-a528-90784103be24,admin16f74fd5-e4d6-11ed-a528-90784103be24,admin16f74fd5-e4d6-11ed-a528-90784103be24@123,admin,admin16f74fd5-e4d6-11ed-a528-90784103be24@gmail.com
16f74fd6-e4d6-11ed-9b9d-90784103be24,admin16f74fd6-e4d6-11ed-9b9d-90784103be24,admin16f74fd6-e4d6-11ed-9b9d-90784103be24@123,admin,admin16f74fd6-e4d6-11ed-9b9d-90784103be24@gmail.com
16f74fd7-e4d6-11ed-9693-90784103be24,admin16f74fd7-e4d6-11ed-9693-90784103be24,admin16f74fd7-e4d6-11ed-9693-90784103be24@123,admin,admin16f74fd7-e4d6-11ed-9693-90784103be24@gmail.com
b2acc864-e4d8-11ed-8e40-90784103be24,lmn,lmn@1234,student,lmn@gmail.com
